hf_index,nodes,edges,temporal_edges,similarity_edges,similarity_edges_per_node,segmentation_mode
402,5,20,8,12,2.4,beat_2
403,13,78,24,54,4.153846153846154,beat_2
404,8,46,14,32,4.0,beat_2
405,9,52,16,36,4.0,beat_2
406,11,60,20,40,3.6363636363636362,beat_2
407,11,62,20,42,3.8181818181818183,beat_2
408,17,98,32,66,3.8823529411764706,beat_2
409,5,20,8,12,2.4,beat_2
410,8,44,14,30,3.75,beat_2
411,6,30,10,20,3.3333333333333335,beat_2
412,5,20,8,12,2.4,beat_2
413,9,50,16,34,3.7777777777777777,beat_2
414,5,20,8,12,2.4,beat_2
415,13,74,24,50,3.8461538461538463,beat_2
416,10,56,18,38,3.8,beat_2
417,8,42,14,28,3.5,beat_2
418,9,52,16,36,4.0,beat_2
419,10,60,18,42,4.2,beat_2
420,13,76,24,52,4.0,beat_2
421,8,44,14,30,3.75,beat_2
422,6,30,10,20,3.3333333333333335,beat_2
423,10,58,18,40,4.0,beat_2
424,10,58,18,40,4.0,beat_2
425,12,68,22,46,3.8333333333333335,beat_2
426,16,90,30,60,3.75,beat_2
427,6,30,10,20,3.3333333333333335,beat_2
428,10,56,18,38,3.8,beat_2
429,10,58,18,40,4.0,beat_2
430,9,52,16,36,4.0,beat_2
431,8,46,14,32,4.0,beat_2
432,13,70,24,46,3.5384615384615383,beat_2
433,13,76,24,52,4.0,beat_2
434,10,62,18,44,4.4,fixed_1s
435,12,78,22,56,4.666666666666667,beat_2
436,10,60,18,42,4.2,beat_2
437,13,76,24,52,4.0,beat_2
438,10,62,18,44,4.4,beat_2
439,7,36,12,24,3.4285714285714284,beat_2
440,10,60,18,42,4.2,beat_2
441,12,76,22,54,4.5,beat_2
442,10,58,18,40,4.0,fixed_1s
443,8,44,14,30,3.75,beat_2
444,9,52,16,36,4.0,beat_2
445,8,44,14,30,3.75,beat_2
446,11,66,20,46,4.181818181818182,beat_2
447,9,50,16,34,3.7777777777777777,beat_2
448,10,60,18,42,4.2,beat_2
449,13,82,24,58,4.461538461538462,beat_2
450,10,58,18,40,4.0,beat_2
451,9,52,16,36,4.0,beat_2
452,5,20,8,12,2.4,beat_2
453,6,30,10,20,3.3333333333333335,beat_2
454,11,70,20,50,4.545454545454546,beat_2
455,10,58,18,40,4.0,beat_2
456,10,58,18,40,4.0,beat_2
457,10,60,18,42,4.2,fixed_1s
458,5,20,8,12,2.4,beat_2
459,12,74,22,52,4.333333333333333,beat_2
460,10,58,18,40,4.0,beat_2
461,10,58,18,40,4.0,fixed_1s
462,10,60,18,42,4.2,fixed_1s
463,5,20,8,12,2.4,beat_2
464,6,30,10,20,3.3333333333333335,beat_2
465,10,60,18,42,4.2,fixed_1s
466,7,38,12,26,3.7142857142857144,beat_2
467,10,60,18,42,4.2,beat_2
468,9,52,16,36,4.0,beat_2
469,10,58,18,40,4.0,beat_2
470,6,30,10,20,3.3333333333333335,beat_2
471,8,44,14,30,3.75,beat_2
472,11,64,20,44,4.0,beat_2
473,6,30,10,20,3.3333333333333335,beat_2
474,7,40,12,28,4.0,beat_2
475,6,30,10,20,3.3333333333333335,beat_2
476,10,60,18,42,4.2,beat_2
477,6,30,10,20,3.3333333333333335,beat_2
478,8,44,14,30,3.75,beat_2
479,8,44,14,30,3.75,beat_2
480,9,52,16,36,4.0,beat_2
481,8,46,14,32,4.0,beat_2
482,9,52,16,36,4.0,beat_2
483,12,68,22,46,3.8333333333333335,beat_2
484,12,78,22,56,4.666666666666667,beat_2
485,10,56,18,38,3.8,beat_2
486,8,48,14,34,4.25,beat_2
487,9,50,16,34,3.7777777777777777,beat_2
488,12,64,22,42,3.5,beat_2
489,9,54,16,38,4.222222222222222,beat_2
490,7,38,12,26,3.7142857142857144,beat_2
491,11,72,20,52,4.7272727272727275,beat_2
492,7,38,12,26,3.7142857142857144,beat_2
493,9,52,16,36,4.0,beat_2
494,11,70,20,50,4.545454545454546,beat_2
495,8,42,14,28,3.5,beat_2
496,11,68,20,48,4.363636363636363,beat_2
497,10,56,18,38,3.8,beat_2
498,7,38,12,26,3.7142857142857144,beat_2
499,11,66,20,46,4.181818181818182,beat_2
500,15,96,28,68,4.533333333333333,beat_2
501,11,70,20,50,4.545454545454546,beat_2
502,10,54,18,36,3.6,beat_2
503,5,20,8,12,2.4,beat_2
504,11,62,20,42,3.8181818181818183,beat_2
505,10,60,18,42,4.2,beat_2
506,7,34,12,22,3.142857142857143,beat_2
507,12,74,22,52,4.333333333333333,beat_2
508,9,48,16,32,3.5555555555555554,beat_2
509,7,36,12,24,3.4285714285714284,beat_2
510,8,46,14,32,4.0,beat_2
511,12,66,22,44,3.6666666666666665,beat_2
512,13,74,24,50,3.8461538461538463,beat_2
513,11,70,20,50,4.545454545454546,beat_2
514,11,68,20,48,4.363636363636363,beat_2
515,11,64,20,44,4.0,beat_2
516,16,100,30,70,4.375,beat_2
517,9,52,16,36,4.0,beat_2
518,9,50,16,34,3.7777777777777777,beat_2
519,10,62,18,44,4.4,beat_2
520,6,30,10,20,3.3333333333333335,beat_2
521,10,58,18,40,4.0,beat_2
522,6,30,10,20,3.3333333333333335,beat_2
523,12,68,22,46,3.8333333333333335,beat_2
524,8,46,14,32,4.0,beat_2
525,8,44,14,30,3.75,beat_2
526,10,56,18,38,3.8,fixed_1s
527,13,82,24,58,4.461538461538462,beat_2
528,10,52,18,34,3.4,beat_2
529,8,48,14,34,4.25,beat_2
530,10,56,18,38,3.8,fixed_1s
531,8,42,14,28,3.5,beat_2
532,11,58,20,38,3.4545454545454546,beat_2
533,9,52,16,36,4.0,beat_2
534,11,68,20,48,4.363636363636363,beat_2
535,11,68,20,48,4.363636363636363,beat_2
536,10,62,18,44,4.4,beat_2
537,9,50,16,34,3.7777777777777777,beat_2
538,5,20,8,12,2.4,beat_2
539,8,44,14,30,3.75,beat_2
540,9,50,16,34,3.7777777777777777,beat_2
541,5,20,8,12,2.4,beat_2
542,13,82,24,58,4.461538461538462,beat_2
543,12,74,22,52,4.333333333333333,beat_2
544,10,60,18,42,4.2,beat_2
545,9,50,16,34,3.7777777777777777,beat_2
546,6,30,10,20,3.3333333333333335,beat_2
547,6,30,10,20,3.3333333333333335,beat_2
548,10,58,18,40,4.0,beat_2
549,14,80,26,54,3.857142857142857,beat_2
550,10,58,18,40,4.0,beat_2
551,6,30,10,20,3.3333333333333335,beat_2
552,16,98,30,68,4.25,beat_2
553,8,42,14,28,3.5,beat_2
554,8,44,14,30,3.75,beat_2
555,15,90,28,62,4.133333333333334,beat_2
556,13,72,24,48,3.6923076923076925,beat_2
